filename,psnr,ssim,uciqe,lpips
im_u1264_,34.75399398803711,0.9467434287071228,0.5097061395645142,0.12164755165576935
im_u1525_,34.524879455566406,0.9259984493255615,0.4602430462837219,0.06783542037010193
im_f128_,34.521820068359375,0.9502962827682495,0.38365280628204346,0.07559405267238617
im_u122_,34.46726989746094,0.942173957824707,0.5167263746261597,0.10068204998970032
im_f134_,34.44243621826172,0.9143106341362,0.37633395195007324,0.09986607730388641
im_u904_,33.73127746582031,0.9280722141265869,0.4947815537452698,0.04929010570049286
im_f38_,33.12763977050781,0.9123417735099792,0.4062800109386444,0.07377367466688156
im_u1675_,32.975826263427734,0.9297859072685242,0.4503697156906128,0.0561307929456234
im_u438_,32.90380859375,0.9421206712722778,0.46986573934555054,0.04455602169036865
im_u1071_,32.63311004638672,0.8795698881149292,0.46461427211761475,0.125825434923172
im_u512_,32.35369873046875,0.8440070152282715,0.3994564414024353,0.08777213096618652
im_u894_,32.31600570678711,0.8729784488677979,0.4940175414085388,0.059236202389001846
im_u1149_,32.19416046142578,0.9427498579025269,0.5001798868179321,0.04970092326402664
im_u874_,32.16979217529297,0.9263707995414734,0.45845597982406616,0.05837750434875488
im_u966_,32.11516571044922,0.936893105506897,0.38795238733291626,0.09289677441120148
im_u356_,32.07804870605469,0.9344158172607422,0.3666076064109802,0.06501992046833038
im_u836_,32.01646423339844,0.8690263628959656,0.5052951574325562,0.05457201972603798
im_u1678_,31.474721908569336,0.8998100161552429,0.46143242716789246,0.10225021839141846
im_u12_,31.411190032958984,0.8574106693267822,0.4614284932613373,0.15691059827804565
im_u1101_,31.320531845092773,0.931887149810791,0.4582033157348633,0.04755659028887749
im_u1205_,31.320140838623047,0.9017422199249268,0.4587661623954773,0.09535747766494751
im_u1395_,31.279573440551758,0.8654898405075073,0.4860142469406128,0.17035943269729614
im_u465_,31.273025512695312,0.8255780935287476,0.448478639125824,0.09882768243551254
im_u99_,31.26487922668457,0.8619290590286255,0.43136918544769287,0.18427813053131104
im_u109_,31.18794059753418,0.8547096252441406,0.39987125992774963,0.16213294863700867
im_u21_,31.183542251586914,0.9022458791732788,0.39907363057136536,0.12492397427558899
im_u1904_,31.178466796875,0.9312866926193237,0.45907557010650635,0.04672416299581528
im_f2402_,31.131776809692383,0.9282414317131042,0.4035393297672272,0.09377501904964447
im_u277_,31.12619400024414,0.8596060276031494,0.5093150734901428,0.05504543334245682
im_u1063_,31.098941802978516,0.8945948481559753,0.3989524841308594,0.0706242248415947
