filename,psnr,ssim,uciqe,lpips
set_f0,22.7741756439209,0.6963171362876892,0.4225679636001587,0.30429068207740784
set_f10,25.403831481933594,0.8306378722190857,0.45441094040870667,0.28581467270851135
set_f11,22.223711013793945,0.7875078916549683,0.3719007670879364,0.4182261526584625
set_f12,20.178606033325195,0.6816421747207642,0.436286985874176,0.2174248993396759
set_f122,23.690492630004883,0.7737137079238892,0.43367043137550354,0.29422855377197266
set_f14,23.57405662536621,0.7675613164901733,0.40809476375579834,0.3388914465904236
set_f15,23.47359848022461,0.8695578575134277,0.35204654932022095,0.24632669985294342
set_f16,22.90871810913086,0.7761926651000977,0.4253885746002197,0.3958997428417206
set_f17,22.605201721191406,0.7326616048812866,0.4849388003349304,0.3171664774417877
set_f19,18.721385955810547,0.5128335356712341,0.529935896396637,0.4551994204521179
set_f2,23.110780715942383,0.6629387736320496,0.5099284648895264,0.26614290475845337
set_f20,21.089094161987305,0.6428556442260742,0.47696155309677124,0.39932379126548767
set_f22,24.069561004638672,0.7399131655693054,0.4985339045524597,0.2945520877838135
set_f23,25.056949615478516,0.8041348457336426,0.4219244420528412,0.2661746144294739
set_f26,22.272357940673828,0.6948551535606384,0.3681985139846802,0.5131107568740845
set_f27,25.234363555908203,0.8160423040390015,0.3519148826599121,0.2438986897468567
set_f29,22.70934295654297,0.7709424495697021,0.38992083072662354,0.3560914099216461
set_f30,25.4281063079834,0.8738754987716675,0.4465424418449402,0.1762213259935379
set_f31,25.18561363220215,0.8304972052574158,0.39372050762176514,0.34218162298202515
set_f32,22.9346923828125,0.7473894357681274,0.4680359661579132,0.3644134998321533
set_f33,22.362733840942383,0.6566457748413086,0.4209093153476715,0.35613730549812317
set_f34,24.242807388305664,0.7632851004600525,0.38444286584854126,0.36290761828422546
set_f35,22.075529098510742,0.6563398241996765,0.5367331504821777,0.41844263672828674
set_f37,23.939266204833984,0.699593722820282,0.438486784696579,0.32157865166664124
set_f38,23.504480361938477,0.7868236899375916,0.42617297172546387,0.29935839772224426
set_f40,21.51354217529297,0.6673574447631836,0.45689165592193604,0.3963843882083893
set_f41,22.377134323120117,0.7321341037750244,0.4253677725791931,0.20978394150733948
set_f42,21.398218154907227,0.5264188647270203,0.5553543567657471,0.44469887018203735
set_f44,18.46963119506836,0.745616614818573,0.36068370938301086,0.43967515230178833
set_f45,23.956205368041992,0.7203158736228943,0.5622726082801819,0.3845464289188385
set_f46,19.51952362060547,0.7655696868896484,0.3908233046531677,0.41548728942871094
set_f47,20.61858367919922,0.6951724290847778,0.5492260456085205,0.3487190306186676
set_f48,21.049013137817383,0.6412458419799805,0.35892507433891296,0.4006245732307434
set_f5,25.293886184692383,0.7075526118278503,0.41178590059280396,0.27893736958503723
set_f7,21.647289276123047,0.8224117755889893,0.4372335970401764,0.3305673599243164
set_f9,21.888261795043945,0.688812255859375,0.49956560134887695,0.434174120426178
set_o0,22.066146850585938,0.7831271886825562,0.35533496737480164,0.43309950828552246
set_o1,22.96919059753418,0.6271994113922119,0.5453018546104431,0.3333037495613098
set_o10,23.243852615356445,0.764591634273529,0.400871604681015,0.35206788778305054
set_o104,19.109249114990234,0.6553704738616943,0.4408915936946869,0.4289843440055847
set_o109,23.369691848754883,0.59525066614151,0.5343532562255859,0.2862223982810974
set_o11,24.72241973876953,0.8853435516357422,0.43768635392189026,0.11664611101150513
set_o12,22.594974517822266,0.7562689185142517,0.40350720286369324,0.4640476107597351
set_o13,23.912281036376953,0.7895213961601257,0.4824691116809845,0.3253622353076935
set_o15,22.211429595947266,0.7496299147605896,0.3447219729423523,0.4600997865200043
set_o17,23.136018753051758,0.6560478210449219,0.6023637056350708,0.24610868096351624
set_o18,20.1291446685791,0.6845076084136963,0.3367278277873993,0.5135185122489929
set_o19,20.527734756469727,0.7120933532714844,0.4319106638431549,0.5043393969535828
set_o20,24.240571975708008,0.7818150520324707,0.47450554370880127,0.16325752437114716
set_o21,21.605804443359375,0.6976007223129272,0.4149610102176666,0.44108444452285767
set_o22,22.466041564941406,0.7895891666412354,0.42216017842292786,0.24284197390079498
set_o25,22.210235595703125,0.7654576301574707,0.3843311667442322,0.31336653232574463
set_o27,26.57988739013672,0.8479231595993042,0.35022222995758057,0.2509925663471222
